Fecha,Unidades,Dia,Mes,Año,Festivo,Dia_Semana,Semana_Año,Quincena,dias_laborales,Unidades predecidas
2012-01-01,0,1,1,2012,1,6,52,1,0,26.706736
2012-01-02,188,2,1,2012,0,0,1,1,1,302.87054
2012-01-03,482,3,1,2012,0,1,1,1,1,538.1752
2012-01-04,927,4,1,2012,0,2,1,1,1,975.1325
2012-01-05,1159,5,1,2012,0,3,1,1,1,1032.5245
2012-01-06,996,6,1,2012,0,4,1,1,1,1021.23615
2012-01-07,243,7,1,2012,0,5,1,1,1,269.3748
2012-01-08,0,8,1,2012,0,6,1,1,0,26.706736
2012-01-09,0,9,1,2012,1,0,2,1,0,21.611807
2012-01-10,697,10,1,2012,0,1,2,1,1,841.17535
2012-01-11,956,11,1,2012,0,2,2,1,1,1021.1878
2012-01-12,1001,12,1,2012,0,3,2,1,1,1021.23615
2012-01-13,1170,13,1,2012,0,4,2,1,1,1021.23615
2012-01-14,372,14,1,2012,0,5,2,1,1,346.03723
2012-01-15,1,15,1,2012,0,6,2,1,0,26.706736
2012-01-16,805,16,1,2012,0,0,3,2,1,779.4366
2012-01-17,913,17,1,2012,0,1,3,2,1,971.454
2012-01-18,1049,18,1,2012,0,2,3,2,1,1005.6444
2012-01-19,979,19,1,2012,0,3,3,2,1,1005.69275
2012-01-20,1018,20,1,2012,0,4,3,2,1,1005.69275
2012-01-21,312,21,1,2012,0,5,3,2,1,346.03723
2012-01-22,0,22,1,2012,0,6,3,2,0,26.706736
2012-01-23,802,23,1,2012,0,0,4,2,1,784.4214
2012-01-24,893,24,1,2012,0,1,4,2,1,971.454
2012-01-25,1030,25,1,2012,0,2,4,2,1,1018.669
2012-01-26,1108,26,1,2012,0,3,4,2,1,1000.20233
2012-01-27,1049,27,1,2012,0,4,4,2,1,1104.8507
2012-01-28,369,28,1,2012,0,5,4,2,1,375.4454
2012-01-29,2,29,1,2012,0,6,4,2,0,29.470425
2012-01-30,823,30,1,2012,0,0,5,2,1,1115.7897
2012-01-31,1046,31,1,2012,0,1,5,2,1,1029.1199
2012-02-01,1142,1,2,2012,0,2,5,1,1,1034.85
2012-02-02,1185,2,2,2012,0,3,5,1,1,1095.1382
2012-02-03,1295,3,2,2012,0,4,5,1,1,1118.6154
2012-02-04,344,4,2,2012,0,5,5,1,1,329.34573
2012-02-05,0,5,2,2012,0,6,5,1,0,26.706736
2012-02-06,853,6,2,2012,0,0,6,1,1,874.45734
2012-02-07,1170,7,2,2012,0,1,6,1,1,1069.3418
2012-02-08,1177,8,2,2012,0,2,6,1,1,1224.1234
2012-02-09,1182,9,2,2012,0,3,6,1,1,1251.6958
2012-02-10,1191,10,2,2012,0,4,6,1,1,1251.6958
2012-02-11,411,11,2,2012,0,5,6,1,1,353.44843
2012-02-12,1,12,2,2012,0,6,6,1,0,26.706736
2012-02-13,881,13,2,2012,0,0,7,1,1,909.1084
2012-02-14,1120,14,2,2012,0,1,7,1,1,1069.3418
2012-02-15,1126,15,2,2012,0,2,7,1,1,1208.5801
2012-02-16,1098,16,2,2012,0,3,7,2,1,1236.1525
2012-02-17,1243,17,2,2012,0,4,7,2,1,1236.1525
2012-02-18,309,18,2,2012,0,5,7,2,1,346.03723
2012-02-19,0,19,2,2012,0,6,7,2,0,26.706736
2012-02-20,733,20,2,2012,0,0,8,2,1,828.07666
2012-02-21,994,21,2,2012,0,1,8,2,1,1053.7985
2012-02-22,1186,22,2,2012,0,2,8,2,1,1208.5801
2012-02-23,1247,23,2,2012,0,3,8,2,1,1236.1525
2012-02-24,1315,24,2,2012,0,4,8,2,1,1236.1525
2012-02-25,386,25,2,2012,0,5,8,2,1,376.78412
2012-02-26,0,26,2,2012,0,6,8,2,0,26.706736
2012-02-27,855,27,2,2012,0,0,9,2,1,848.93823
2012-02-28,1239,28,2,2012,0,1,9,2,1,1169.9099
2012-02-29,1157,29,2,2012,0,2,9,2,1,1330.8446
2012-03-01,1201,1,3,2012,0,3,9,1,1,1227.8914
2012-03-02,1342,2,3,2012,0,4,9,1,1,1227.8914
2012-03-03,358,3,3,2012,0,5,9,1,1,350.70883
2012-03-04,0,4,3,2012,0,6,9,1,0,26.706736
2012-03-05,886,5,3,2012,0,0,10,1,1,897.09863
2012-03-06,1209,6,3,2012,0,1,10,1,1,1107.9976
2012-03-07,1553,7,3,2012,0,2,10,1,1,1272.2421
2012-03-08,1340,8,3,2012,0,3,10,1,1,1299.8145
2012-03-09,1279,9,3,2012,0,4,10,1,1,1299.8145
2012-03-10,489,10,3,2012,0,5,10,1,1,367.3717
2012-03-11,1,11,3,2012,0,6,10,1,0,26.706736
2012-03-12,971,12,3,2012,0,0,11,1,1,909.1084
2012-03-13,1305,13,3,2012,0,1,11,1,1,1088.3507
2012-03-14,1366,14,3,2012,0,2,11,1,1,1272.2421
2012-03-15,1357,15,3,2012,0,3,11,1,1,1265.2622
2012-03-16,1461,16,3,2012,0,4,11,2,1,1265.2622
2012-03-17,339,17,3,2012,0,5,11,2,1,346.03723
2012-03-18,0,18,3,2012,0,6,11,2,0,26.706736
2012-03-19,0,19,3,2012,1,0,12,2,0,9.614195
2012-03-20,937,20,3,2012,0,1,12,2,1,1053.7985
2012-03-21,1247,21,3,2012,0,2,12,2,1,1237.6898
2012-03-22,1332,22,3,2012,0,3,12,2,1,1265.2622
2012-03-23,1479,23,3,2012,0,4,12,2,1,1265.2622
2012-03-24,139,24,3,2012,0,5,12,2,1,296.02975
2012-03-25,32,25,3,2012,0,6,12,2,0,26.706736
2012-03-26,1113,26,3,2012,0,0,13,2,1,888.0354
2012-03-27,1163,27,3,2012,0,1,13,2,1,1109.453
2012-03-28,1469,28,3,2012,0,2,13,2,1,1330.8446
2012-03-29,1559,29,3,2012,0,3,13,2,1,1363.8827
2012-03-30,1805,30,3,2012,0,4,13,2,1,1513.6611
2012-03-31,485,31,3,2012,0,5,13,2,1,402.6684
