Dia,Mes,Año,Festivo,Dia_Semana,dias_laborales,Unidades predecidas
1,1,2018,1,0,0,18.647535
2,1,2018,0,1,1,352.78018
3,1,2018,0,2,1,748.7354
4,1,2018,0,3,1,861.55695
5,1,2018,0,4,1,899.97906
6,1,2018,0,5,1,191.36633
7,1,2018,0,6,0,26.706736
8,1,2018,1,0,0,29.875446
9,1,2018,0,1,1,747.768
10,1,2018,0,2,1,912.46594
11,1,2018,0,3,1,934.71674
12,1,2018,0,4,1,934.71674
13,1,2018,0,5,1,268.1944
14,1,2018,0,6,0,26.706736
15,1,2018,0,0,1,694.06476
16,1,2018,0,1,1,820.00226
17,1,2018,0,2,1,912.46594
18,1,2018,0,3,1,934.71674
19,1,2018,0,4,1,934.71674
20,1,2018,0,5,1,268.1944
21,1,2018,0,6,0,26.706736
22,1,2018,0,0,1,681.5071
23,1,2018,0,1,1,904.05884
24,1,2018,0,2,1,1004.3172
25,1,2018,0,3,1,1018.03613
26,1,2018,0,4,1,1139.6356
27,1,2018,0,5,1,501.7545
28,1,2018,0,6,0,26.706736
29,1,2018,0,0,1,1225.4696
30,1,2018,0,1,1,1364.1154
31,1,2018,0,2,1,1420.0287
1,2,2018,0,3,1,718.3665
2,2,2018,0,4,1,718.3665
3,2,2018,0,5,1,157.9882
4,2,2018,0,6,0,26.706736
5,2,2018,0,0,1,558.88916
6,2,2018,0,1,1,745.1238
7,2,2018,0,2,1,908.03455
8,2,2018,0,3,1,934.71674
9,2,2018,0,4,1,934.71674
10,2,2018,0,5,1,275.6056
11,2,2018,0,6,0,26.706736
12,2,2018,0,0,1,723.24084
13,2,2018,0,1,1,819.712
14,2,2018,0,2,1,912.46594
15,2,2018,0,3,1,934.71674
16,2,2018,0,4,1,934.71674
17,2,2018,0,5,1,268.1944
18,2,2018,0,6,0,26.706736
19,2,2018,0,0,1,710.1883
20,2,2018,0,1,1,819.712
21,2,2018,0,2,1,948.8002
22,2,2018,0,3,1,971.05096
23,2,2018,0,4,1,1026.568
24,2,2018,0,5,1,248.17857
25,2,2018,0,6,0,26.706736
26,2,2018,0,0,1,784.7762
27,2,2018,0,1,1,1082.6389
28,2,2018,0,2,1,1316.3574
